0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
17.2,d_19240301,0.6,0,0,0,0,0,82,64.9,28.3,12.9,6.8
15.6,d_19240401,0.5,0,0,0,0,0,84,68.4,35,16.3,7.7
11.7,d_19240501,0.8,0,0,0,0,0,87.3,70.1,35.4,18.7,5.8
26.1,d_19240601,1.2,0.7,0,0,0,0,72.7,45.9,10.7,2.2,0
54.5,d_19240701,16.3,5.5,0.1,0,0,0,29.2,16.6,2.9,0,0
57.5,d_19240801,24.8,10,1.9,1.1,0.1,0,17.8,7.2,0,0,0
51.2,d_19240901,47.7,21.6,5.2,2.8,1.2,0,1,0,0,0,0
38.2,d_19241001,61.3,38.1,12,5.6,2.7,0,0.5,0,0,0,0
16.3,d_19241101,82.7,66.5,24.7,11.9,4,0,1,0,0,0,0
13,d_19241201,86.9,75.5,35.7,20.7,7.1,0,0.2,0,0,0,0
11.8,d_19250101,88,81.2,45.5,23.4,7.2,0,0.2,0,0,0,0
7.7,d_19250201,91,85.7,68.1,54.9,30.5,0,1.3,0.3,0,0,0
10.4,d_19250301,88.7,78.6,62,50.1,38.2,0,1,0.1,0,0,0
13.9,d_19250401,85.1,70.7,53.3,40,28.8,0,0.9,0,0,0,0
23.5,d_19250501,76.4,64.2,46.7,33.8,23.8,0,0,0,0,0,0
10.7,d_19250601,89.4,74.3,57.6,47.4,31.7,0,0,0,0,0,0
20.2,d_19250701,79,68.2,45.5,34.6,23,0,0.8,0,0,0,0
36.7,d_19250801,60,53,38.2,29.4,20.5,0,3.4,1.8,0,0,0
40.7,d_19250901,47.1,42.2,31,24.3,14.8,0,12.3,3.7,0,0,0
40.5,d_19251001,44,34.1,13.6,1.2,0,0,15.5,4.7,0.2,0,0
51.9,d_19251101,27.3,13.5,0.6,0,0,0,20.8,5.5,0.3,0,0
51.1,d_19251201,26.5,13.3,0.3,0,0,0,22.4,7.2,0.4,0,0
70.8,d_19260101,9,4.1,0,0,0,0,20.2,9.7,1,0,0
73.2,d_19260201,14.4,5.4,0.9,0.1,0,0,12.4,6,0.9,0,0
29,d_19260301,1.8,0.7,0,0,0,0,69.2,43.9,6.4,1.8,0
18,d_19260401,1.9,0.1,0,0,0,0,80.1,62,15.8,4.5,0.6
24.8,d_19260501,0,0,0,0,0,0,75.2,51.2,14.9,6.1,1.1
41.7,d_19260601,0.1,0,0,0,0,0,58.3,32.6,7.1,1.4,0
34.5,d_19260701,0,0,0,0,0,0,65.4,31.6,3,0.6,0
33.6,d_19260801,0,0,0,0,0,0,66.3,33.2,4.4,1,0
44.5,d_19260901,0.1,0,0,0,0,0,55.4,35.8,11.9,2.8,0.1
43.1,d_19261001,0.7,0,0,0,0,0,56.1,43.6,15.1,5.9,1.5
33.4,d_19261101,0.1,0,0,0,0,0,66.5,46.3,16.3,6.3,1.9
42.5,d_19261201,1.8,0.3,0,0,0,0,55.5,42,16.3,6.4,1.6
44.9,d_19270101,9.3,2.5,0.2,0,0,0,45.7,34.1,13.8,5.3,0
44.7,d_19270201,7.8,1.9,0.1,0,0,0,47.4,34.2,15.2,7.3,0.7
39.8,d_19270301,9.3,3.3,0.2,0,0,0,50.9,37.6,17.2,8.6,2.4
40.4,d_19270401,14.7,6.4,0.7,0,0,0,44.9,27.8,9.6,3.3,0
53.3,d_19270501,21.8,12.6,2.7,1.3,0,0,24.7,8.4,0.9,0.1,0
53.5,d_19270601,11.4,6.9,0.3,0,0,0,35,13.3,0.4,0,0
42.8,d_19270701,26.2,11,1.1,0,0,0,30.9,15.1,0.3,0,0
